,count,pair
195,7.0,"(citi,licens)"
196,5.0,"(citi,life)"
197,2.0,"(citi,lit)"
198,10.0,"(citi,littl)"
199,1.0,"(citi,livedeal)"
200,1.0,"(citi,longerrun)"
201,1.0,"(citi,longrun)"
202,3.0,"(citi,low)"
203,2.0,"(citi,mainland)"
204,3.0,"(citi,marijuana)"
205,4.0,"(citi,market)"
206,3.0,"(citi,marvel)"
207,1.0,"(citi,maryland)"
208,1.0,"(citi,matter)"
209,1.0,"(citi,merit)"
210,1.0,"(citi,midtown)"
211,1.0,"(citi,mike)"
212,3.0,"(citi,modern)"
213,2.0,"(citi,movi)"
214,2.0,"(citi,multipl)"
215,4.0,"(citi,must)"
216,2.0,"(citi,nativ)"
217,20.0,"(citi,need)"
218,1.0,"(citi,negat)"
219,1.0,"(citi,normal)"
220,1.0,"(citi,northeastern)"
221,1.0,"(citi,norwegian)"
222,4.0,"(citi,nos)"
223,1.0,"(citi,nyc)"
224,1.0,"(citi,octob)"
225,8.0,"(citi,often)"
226,4.0,"(citi,omalley)"
227,1.0,"(citi,onesid)"
228,6.0,"(citi,oper)"
229,3.0,"(citi,opera)"
230,2.0,"(citi,or)"
231,1.0,"(citi,outgrew)"
232,1.0,"(citi,outlook)"
233,1.0,"(citi,outofst)"
234,1.0,"(citi,overal)"
235,1.0,"(citi,overlook)"
236,1.0,"(citi,overtaken)"
237,4.0,"(citi,own)"
238,1.0,"(citi,pave)"
239,4.0,"(citi,peak)"
240,1.0,"(citi,penthous)"
241,1.0,"(citi,perman)"
242,1.0,"(citi,pie)"
243,2.0,"(citi,pile)"
244,1.0,"(citi,pilot)"
245,1.0,"(citi,pizza)"
246,1.0,"(citi,plain)"
247,2.0,"(citi,plaincloth)"
248,3.0,"(citi,play)"
249,1.0,"(citi,playground)"
250,1.0,"(citi,ponder)"
251,2.0,"(citi,postfear)"
252,10.0,"(citi,presid)"
253,1.0,"(citi,previous)"
254,3.0,"(citi,problem)"
255,1.0,"(citi,profil)"
256,1.0,"(citi,profound)"
257,16.0,"(citi,project)"
258,1.0,"(citi,promis)"
259,1.0,"(citi,proper)"
260,32.0,"(citi,public)"
261,3.0,"(citi,punish)"
262,1.0,"(citi,rare)"
263,3.0,"(citi,realiti)"
