,keywords,urls
0,subway,https://www.nytimes.com/2019/03/27/nyregion/subway-bathrooms.html
1,subway,https://www.nytimes.com/2019/03/20/nyregion/subway-lines-schedule-on-time.html
2,subway,https://www.nytimes.com/2019/03/20/nyregion/mta-subway-sex-offenders.html
3,subway,https://www.nytimes.com/2019/03/05/nyregion/nyc-subway.html
4,subway,https://www.nytimes.com/2019/04/04/nyregion/boy-rescued-subway-tracks.html
5,subway,https://www.nytimes.com/2019/01/27/opinion/letters/subways-climate-change.html
6,subway,https://www.nytimes.com/2019/03/29/opinion/new-yorks-subways-mta.html
7,subway,https://www.nytimes.com/2019/02/08/opinion/congestion-pricing-subways-mta.html
8,subway,https://www.nytimes.com/2019/01/04/opinion/l-train-new-york-subway-cuomo.html
9,subway,https://www.nytimes.com/2019/01/18/nyregion/staten-island-subway-dreams.html
10,subway,https://www.nytimes.com/interactive/2019/02/11/nyregion/nyc-subway-access.html
11,subway,https://www.nytimes.com/2019/03/22/nyregion/newyorktoday/nyc-news-subway-lines-schedule.html
12,subway,https://www.nytimes.com/2019/01/02/opinion/letters/fare-evaders-mass-transit-new-york.html
13,subway,https://www.nytimes.com/2019/02/04/nyregion/nyc-subway-crime.html
14,subway,https://www.nytimes.com/2019/01/30/nyregion/newyorktoday/ny-today-subway-death-mother.html
15,subway,https://www.nytimes.com/2019/02/03/nyregion/shooting-queens-subway.html
16,subway,https://www.nytimes.com/2019/02/27/nyregion/mta-fares-hike.html
17,subway,https://www.nytimes.com/2019/01/24/nyregion/i-found-money-what-to-do.html
18,subway,https://www.nytimes.com/2019/01/23/nyregion/cuomo-mta-fare-increase.html
19,subway,https://www.nytimes.com/interactive/2019/02/11/nyregion/mta-subway-tweets.html
20,subway,https://www.nytimes.com/2019/01/31/nyregion/cold-weather-polar-vortex-nyc.html
21,subway,https://www.nytimes.com/2019/03/18/nyregion/metropolitan-diary.html
22,subway,https://www.nytimes.com/2019/02/20/nyregion/man-dies-subway-train.html
23,subway,https://www.nytimes.com/2019/03/23/nyregion/man-kicking-woman-subway-arrested.html
24,subway,https://www.nytimes.com/2019/02/10/nyregion/cuomo-tide-clean-subways-riders.html
25,subway,https://www.nytimes.com/2019/01/29/nyregion/mom-subway-stairs-death-malaysia-goodson.html
26,subway,https://www.nytimes.com/2019/02/04/nyregion/newyorktoday/ny-news-subway-shooting-queens.html
27,subway,https://www.nytimes.com/2019/01/30/nyregion/mother-falls-down-subway-stairs-death.html
28,subway,https://www.nytimes.com/2019/02/04/nyregion/subway-shooting-ms13-gang.html
29,subway,https://www.nytimes.com/2019/01/30/opinion/letters/subway-death-elevator.html
30,subway,https://www.nytimes.com/2019/01/17/nyregion/taxi-fee-congestion-pricing-nyc.html
31,subway,https://www.nytimes.com/2019/02/25/nyregion/l-train-subway-nyc.html
32,subway,https://www.nytimes.com/2019/01/29/todayspaper/quotation-of-the-day-a-mothers-fatal-fall-on-subway-stairs-rouses-new-yorkers-to-demand-accessibility.html
33,subway,https://www.nytimes.com/2019/01/27/nyregion/pickpockets-nyc-crime.html
34,subway,https://www.nytimes.com/2019/01/11/lens/a-blind-78-year-old-magician-finds-a-new-stage-new-yorks-subways.html
35,subway,https://www.nytimes.com/2019/01/16/todayspaper/quotation-of-the-day-suicide-surcharge-or-crucial-fee-to-fix-the-subway-taxi-drivers-brace-for-battle-over-2-50-charge.html
36,subway,https://www.nytimes.com/video/nyregion/100000006334118/after-death-on-subway-stairs-new-yorkers-lament-accessibility-issues.html
37,subway,https://www.nytimes.com/2019/04/02/nyregion/mta-cuomo-congestion-pricing.html
38,subway,https://www.nytimes.com/2019/03/25/nyregion/congestion-pricing-nyc.html
39,subway,https://www.nytimes.com/2019/02/26/opinion/subway-cuomo-deblasio.html
40,subway,https://www.nytimes.com/2019/02/07/nyregion/l-train-smell.html
41,subway,https://www.nytimes.com/2019/03/08/nyregion/nyc-pepper-spray-hate-crime.html
42,subway,https://www.nytimes.com/2019/03/09/nyregion/hudson-yards-new-york-tax-breaks.html
43,subway,https://www.nytimes.com/2019/02/26/nyregion/subway-congestion-pricing.html
44,subway,https://www.nytimes.com/2019/03/28/nyregion/congestion-pricing-new-york.html
45,subway,https://www.nytimes.com/2019/03/29/opinion/the-budget-new-york-needs.html
46,subway,https://www.nytimes.com/2019/02/19/nyregion/what-is-congestion-pricing.html
47,subway,https://www.nytimes.com/2019/02/27/nyregion/graffiti-chef-ed-lee-art.html
48,subway,https://www.nytimes.com/2019/02/07/nyregion/congestion-pricing-fare-hike.html
49,subway,https://www.nytimes.com/2019/01/10/nyregion/commuter-trains-nyc.html
50,subway,https://www.nytimes.com/2019/01/24/nyregion/metrocard-hike-3-dollars.html
51,subway,https://www.nytimes.com/2019/03/14/nyregion/ruth-bader-ginsburg-poster-swastika.html
52,subway,https://www.nytimes.com/2019/02/10/nyregion/hess-triangle-greenwich-village.html
53,subway,https://www.nytimes.com/2019/02/25/nyregion/newyorktoday/ny-news-subway-delays-trains.html
54,subway,https://www.nytimes.com/2019/02/11/reader-center/international-public-transit-new-york-subway.html
55,subway,https://www.nytimes.com/2019/01/18/nyregion/l-train-subway-riders.html
56,subway,https://www.nytimes.com/interactive/2019/04/04/realestate/04Hunt.html
57,subway,https://www.nytimes.com/2019/02/27/obituaries/dondi-donald-joseph-white-overlooked.html
58,subway,https://www.nytimes.com/2019/01/01/nyregion/transportation-east-coast-vs-west-coast.html
59,subway,https://www.nytimes.com/2019/03/01/nyregion/bill-de-blasio-the-progressive-who-was-left-behind.html
60,subway,https://www.nytimes.com/2019/04/07/learning/whats-going-on-in-this-picture-april-8-2019.html
61,subway,https://www.nytimes.com/2019/02/26/magazine/letter-of-recommendation-offgrids-what-if.html
62,subway,https://www.nytimes.com/2019/01/14/nyregion/newyorktoday/new-york-news-vacant-storefronts.html
63,subway,https://www.nytimes.com/2019/03/25/nyregion/metropolitan-diary.html
64,subway,https://www.nytimes.com/2019/01/03/nyregion/l-train-shutdown.html
65,subway,https://www.nytimes.com/2019/03/31/nyregion/budget-new-york-congestion-pricing.html
66,subway,https://www.nytimes.com/2019/02/21/nyregion/nyc-lost-found-sidewalk.html
67,subway,https://www.nytimes.com/2019/03/25/briefing/robert-mueller-israel-parkland.html
68,subway,https://www.nytimes.com/2019/01/07/nyregion/l-train-shutdown.html
69,subway,https://www.nytimes.com/2019/03/15/world/europe/germany-pay-gap-berlin-transit.html
70,subway,https://www.nytimes.com/2019/01/03/nyregion/metrocards-half-price.html
71,subway,https://www.nytimes.com/2019/01/31/nyregion/uber-taxi-lyft-fee.html
72,subway,https://www.nytimes.com/2019/04/08/opinion/letters/car-free-new-york.html
73,subway,https://www.nytimes.com/2019/02/03/opinion/letters/taxi-fares-elderly.html
74,subway,https://www.nytimes.com/2019/02/05/obituaries/jacqueline-steiner-dead.html
75,subway,https://www.nytimes.com/2019/01/04/nyregion/l-train-shutdown.html
76,subway,https://www.nytimes.com/2019/02/05/pageoneplus/corrections-february-6-2019.html
77,subway,https://www.nytimes.com/2019/03/01/fashion/weddings/a-real-life-fairy-tale-that-crossed-the-sea-of-japan.html
78,subway,https://www.nytimes.com/2019/01/08/nyregion/democrats-albany-cuomo-legislature.html
79,subway,https://www.nytimes.com/2019/01/14/nyregion/metropolitan-diary.html
80,subway,https://www.nytimes.com/2019/03/24/briefing/mueller-report-brexit-boeing.html
81,subway,https://www.nytimes.com/2019/01/17/realestate/making-her-new-york-debut-off-broadway.html
82,subway,https://www.nytimes.com/2019/03/24/briefing/mueller-report-thailand-brexit.html
83,subway,https://www.nytimes.com/2019/02/22/opinion/letters/queens-memories.html
84,subway,https://www.nytimes.com/2019/02/26/movies/greta-review.html
85,subway,https://www.nytimes.com/2019/02/11/briefing/ilhan-omar-grammys-westminster-dog-show.html
86,subway,https://www.nytimes.com/2019/02/01/books/review/underground-will-hunt.html
87,subway,https://www.nytimes.com/2019/01/03/nyregion/newyorktoday/weather-nyc-rainfall-2018.html
88,subway,https://www.nytimes.com/2019/01/20/opinion/letters/l-train-subway-new-york-city.html
89,subway,https://www.nytimes.com/2019/04/01/opinion/new-york-state-budget.html
90,subway,https://www.nytimes.com/2019/02/14/opinion/amazon-new-york.html
91,subway,https://www.nytimes.com/2019/02/27/learning/what-is-the-most-memorable-thing-you-have-ever-lost-or-found.html
92,subway,https://www.nytimes.com/2019/01/08/opinion/l-train-subway-cuomo.html
93,subway,https://www.nytimes.com/2019/01/16/nyregion/takeaways-cuomo-speech.html
94,subway,https://www.nytimes.com/2019/02/22/us/fake-hate-crimes.html
95,subway,https://www.nytimes.com/2019/04/04/nyregion/newyorktoday/nyc-news-the-city-jere-hester.html
