,filename,offset,length
0,crawl-data/CC-MAIN-2019-13/segments/1552912203093.63/warc/CC-MAIN-20190323221914-20190324003914-00370.warc.gz,208993600,17487
1,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00370.warc.gz,208560481,17766
2,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00005.warc.gz,210538117,17778
3,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00039.warc.gz,206738973,17771
4,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00061.warc.gz,205377764,14689
5,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00423.warc.gz,221575764,14714
6,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00007.warc.gz,207173029,14698
7,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00170.warc.gz,217829704,14941
8,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00533.warc.gz,203246375,14730
9,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00135.warc.gz,204749950,14684
10,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00135.warc.gz,214811240,14659
11,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00269.warc.gz,204855822,14904
12,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00482.warc.gz,206317096,14921
13,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00365.warc.gz,203687466,14929
14,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00392.warc.gz,204437401,14936
15,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00087.warc.gz,208931501,14708
16,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00291.warc.gz,220418250,14705
17,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00238.warc.gz,212430426,14885
18,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00025.warc.gz,207330376,14884
19,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00424.warc.gz,204172365,14705
20,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00051.warc.gz,203081825,14890
21,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00373.warc.gz,208712829,14659
22,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00271.warc.gz,205927187,14894
23,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00481.warc.gz,208699629,14690
24,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00286.warc.gz,218891913,14917
25,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00234.warc.gz,199073358,14885
26,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00260.warc.gz,218336936,14670
27,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00068.warc.gz,216830322,14709
28,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00260.warc.gz,218352487,14702
29,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/warc/CC-MAIN-20190320024206-20190320050206-00304.warc.gz,202794654,14908
30,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00387.warc.gz,218227795,14672
31,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00278.warc.gz,218081153,14676
32,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00275.warc.gz,207148832,6576
33,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00254.warc.gz,207125184,8417
34,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00411.warc.gz,201948881,16852
35,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00494.warc.gz,7055783,778
36,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00395.warc.gz,7531556,740
37,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00145.warc.gz,7306135,808
38,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00466.warc.gz,8515873,804
39,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00260.warc.gz,6913741,745
40,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/crawldiagnostics/CC-MAIN-20190324190033-20190324212033-00334.warc.gz,7361691,794
41,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/crawldiagnostics/CC-MAIN-20190324190033-20190324212033-00321.warc.gz,6753100,776
42,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00271.warc.gz,7555743,773
43,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00181.warc.gz,7577103,790
44,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/crawldiagnostics/CC-MAIN-20190324190033-20190324212033-00201.warc.gz,7202428,781
45,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00492.warc.gz,6751803,798
46,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00172.warc.gz,8653545,784
47,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00522.warc.gz,7411977,800
48,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00107.warc.gz,7856501,801
49,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00223.warc.gz,6878019,796
50,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00049.warc.gz,7005436,822
51,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/crawldiagnostics/CC-MAIN-20190320024206-20190320050206-00554.warc.gz,6846102,816
52,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00530.warc.gz,7630974,785
53,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00072.warc.gz,6805086,809
54,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00034.warc.gz,7100251,805
55,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00169.warc.gz,7462107,775
56,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/crawldiagnostics/CC-MAIN-20190320024206-20190320050206-00199.warc.gz,7335093,815
57,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/crawldiagnostics/CC-MAIN-20190320024206-20190320050206-00466.warc.gz,6601656,799
58,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00124.warc.gz,7439240,785
59,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/crawldiagnostics/CC-MAIN-20190324190033-20190324212033-00253.warc.gz,6880420,792
60,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00404.warc.gz,7073470,796
61,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00403.warc.gz,7214586,788
62,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/crawldiagnostics/CC-MAIN-20190324190033-20190324212033-00034.warc.gz,7357209,769
63,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00324.warc.gz,7186415,768
64,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00379.warc.gz,7312115,756
65,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00454.warc.gz,7386137,756
66,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00367.warc.gz,7169724,760
67,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00089.warc.gz,7129471,757
68,crawl-data/CC-MAIN-2019-13/segments/1552912202199.51/crawldiagnostics/CC-MAIN-20190320024206-20190320050206-00049.warc.gz,6781148,748
69,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00082.warc.gz,7992288,782
70,crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/crawldiagnostics/CC-MAIN-20190324190033-20190324212033-00123.warc.gz,6946159,746
71,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00097.warc.gz,6634205,665
72,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/crawldiagnostics/CC-MAIN-20190324210143-20190324232143-00274.warc.gz,7791331,741
73,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00318.warc.gz,214139296,14982
74,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00074.warc.gz,197859277,16562
75,crawl-data/CC-MAIN-2019-13/segments/1552912203493.88/warc/CC-MAIN-20190324210143-20190324232143-00398.warc.gz,209950130,18046
76,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00243.warc.gz,200409264,19035
77,crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/warc/CC-MAIN-20190326054828-20190326080828-00179.warc.gz,197461378,18517
