,count,pair,word,cooccurword,alphaword
43296,1002.0,"(new,york)",new,york,newyork
8020,592.0,"(mr,said)",mr,said,mrsaid
1378,397.0,"(mr,trump)",mr,trump,mrtrump
31978,316.0,"(time,new)",new,time,newtime
10801,289.0,"(said,ms)",ms,said,mssaid
4906,286.0,"(time,york)",time,york,timeyork
33785,286.0,"(year,last)",last,year,lastyear
42667,212.0,"(new,citi)",citi,new,citinew
17842,181.0,"(said,would)",said,would,saidwould
35235,155.0,"(mr,kim)",kim,mr,kimmr
