,Count,Word
292,1.0,arealcutie_
293,2.0,arena
294,1.0,arentr
295,3.0,arizona
296,1.0,armaldo
297,10.0,arrest
298,4.0,arrog
299,1.0,arron_bank
300,4.0,arthur
301,2.0,articul
302,3.0,artifici
303,1.0,artillarywil
304,1.0,artisticdream79
305,1.0,arya
306,1.0,asf
307,1.0,ashjamesonxo
308,1.0,ashleighwignal
309,1.0,ashleylynch
310,1.0,ashlyambikha
311,4.0,asia
312,9.0,asian
313,116.0,ask
314,1.0,askrapidkl
315,3.0,asmsg
316,1.0,asoiaf
317,1.0,aspec
318,14.0,assang
319,1.0,assessor
320,1.0,asset
321,1.0,assettocorsa
322,7.0,associ
323,1.0,aston
324,1.0,astound
325,1.0,astrid
326,4.0,asylum
327,1.0,ataraxllc
328,13.0,ate
329,22.0,athlet
330,1.0,athletic
331,9.0,atlanta
332,1.0,atlantabik
333,1.0,atomskssanakan
334,1.0,atst
335,2.0,att
336,36.0,attack
337,1.0,attackmen
338,1.0,attmospher
339,2.0,attorney
340,3.0,au
341,1.0,audi
342,1.0,audreyakay
343,1.0,auggonejam
344,1.0,aun
345,1.0,auntiebruh
346,2.0,aus
347,1.0,auspoi
348,2.0,aussi
349,3.0,australia
350,2.0,australian
351,1.0,authent
352,3.0,autonom
353,7.0,avbound
354,5.0,aveng
355,1.0,avery__thompson
356,2.0,aw95nj
357,3.0,await
358,109.0,away
359,31.0,awesom
360,1.0,awocen
361,1.0,awww
362,1.0,axenshield
363,1.0,ayascope92
364,7.0,aye
365,1.0,ayizatv
366,2.0,aylafortrump
367,1.0,aysap_
368,1.0,ayyyyy
369,2.0,az
370,1.0,b2sts
371,4.0,b3
372,1.0,b4mtastic
373,1.0,b737
374,1.0,b_stark94
375,1.0,bababat
376,8.0,babe
377,1.0,baccano
378,1.0,bachlong007
379,1.0,back_dafucup
380,1.0,backaftathi
381,9.0,background
382,3.0,backpack
383,1.0,backtobad
384,5.0,backward
385,1.0,badaruddin
386,1.0,badass
387,1.0,badassbardock1
388,1.0,badkaratemovi
389,1.0,badmanag
390,1.0,badsad
391,4.0,bagon
392,1.0,bagong
393,1.0,bahnhof
394,1.0,baileyj
395,1.0,bairn
396,1.0,bakeri
397,1.0,ballon
398,1.0,balugao
399,3.0,bam
400,1.0,bamba
401,1.0,bambambigganos
402,1.0,bandwagon
403,1.0,banefultouch
404,2.0,banff
405,1.0,bangtan
406,3.0,bangtantrivia
407,1.0,bankyw
408,2.0,bantamweight
409,23.0,bar
410,2.0,barack
411,1.0,bardhaman
412,2.0,barn
