,Count,Word
5396,10518.0,car
6191,1457.0,get
2450,1067.0,im
12071,1030.0,like
19661,766.0,drive
1539,727.0,go
6237,703.0,got
17196,602.0,one
7788,584.0,new
15095,569.0,dont
