,Count,Word
304,1.0,batter
305,1.0,battleproven
306,1.0,bautista
307,1.0,bavarian
308,2.0,bayonn
309,1.0,bbfarhadi
310,1.0,bcbrownel
311,2.0,bdisgust
312,22.0,be
313,13.0,beach
314,2.0,beater
315,1.0,beaverton
316,7.0,becam
317,2.0,becaus
318,17.0,bed
319,1.0,bedford
320,1.0,bedhead
321,9.0,beer
322,1.0,beeresheet
323,1.0,beforeaft
324,1.0,beforehand
325,1.0,beguil
326,1.0,beingjj_
327,1.0,believewomen
328,1.0,belikan
329,3.0,bellevu
330,2.0,ben
331,1.0,ben_wyndham
332,1.0,bencurrierac
333,1.0,bend
334,1.0,benfranklin2018
335,1.0,bengal
336,1.0,benign
337,4.0,bergen
338,1.0,berniemadoff
339,9.0,besid
340,1.0,betaseri
341,1.0,beth
342,2.0,bethesda
343,1.0,betray
344,1.0,betw
345,1.0,between
346,1.0,bevhillspatch
347,2.0,bhai
348,1.0,bhaura
349,2.0,bibl
350,1.0,bicycleon
351,1.0,bigcitylib2
352,15.0,biggest
353,1.0,bigtay2x_
354,1.0,bikestolen
355,1.0,bikinglight
356,1.0,bilbao
357,20.0,bill
358,3.0,billi
359,1.0,billieeilish
360,6.0,bio
361,16.0,birthday
362,41.0,bit
363,1.0,bitchi
364,1.0,biter
365,1.0,bitondo
366,1.0,bj
367,1.0,bjpenn
368,2.0,bklyn
369,35.0,black
370,1.0,blackberri
371,1.0,blackjust
372,1.0,blackpink
373,1.0,blade
374,9.0,blast
375,6.0,bleach
376,1.0,blief
377,2.0,blimpi
378,1.0,bloateddddd
379,7.0,blogto
380,3.0,bloomington
381,23.0,blue
382,2.0,bluetooth
383,1.0,blunt
384,10.0,blvd
385,2.0,blvdarcher
386,1.0,bmsprairiep
387,1.0,bne
388,3.0,bo
389,2.0,boba
390,2.0,bod
391,17.0,bodi
392,1.0,boga
393,1.0,boi
394,1.0,boiler
395,1.0,bollard
396,1.0,bombay_d4n
397,1.0,bon
398,2.0,bonazoulay
399,3.0,bond
400,2.0,boneless
401,2.0,boner
402,2.0,bonzergreen
403,2.0,bookmark
404,2.0,boom
405,3.0,boondoggl
406,1.0,booster
407,10.0,bore
408,22.0,boss
409,1.0,bostonmarathon
410,4.0,both
411,20.0,bottl
412,1.0,bottleneck
413,2.0,bougi
414,5.0,boulevard
415,1.0,bounti
416,2.0,bouta
417,1.0,bowker_john
418,1.0,bowlinggreen
419,1.0,bowlthat
420,1.0,bowti
421,20.0,box
422,7.0,boyfriend
423,2.0,boywithluv
424,1.0,brad
425,1.0,bradi
426,1.0,braid
427,7.0,brain
428,1.0,braincel
429,4.0,brampton
430,8.0,branch
431,11.0,brand
432,6.0,brass
433,1.0,braver
434,1.0,brazen
435,1.0,breaki
436,1.0,breastfeed
437,1.0,breed
438,1.0,breitbartnew
439,1.0,brenttoderian
440,2.0,bret
441,1.0,brian
442,1.0,brianlabell
443,1.0,bridesmaid
444,1.0,bridgetmari
445,1.0,bridgeview
446,1.0,brimley
447,2.0,brisk
448,2.0,brittneybush
449,3.0,broadcast
450,10.0,broadway
451,1.0,broadwaycom
452,1.0,broiler
453,1.0,broo
454,1.0,brookfield
455,3.0,brooksrun
456,1.0,bruce
457,1.0,bruheffect3
458,4.0,brunch
459,1.0,bruvvvv
460,10.0,bts
461,1.0,bts__europ
462,1.0,btsvope
463,6.0,bubbl
464,1.0,bucknas58142170
465,1.0,budsglassjoint
466,1.0,buffi
467,1.0,buffoon
468,53.0,built
469,1.0,bum
470,1.0,burbank
471,20.0,burger
472,5.0,buri
473,13.0,burn
474,1.0,burqa
475,4.0,bush
476,3.0,busker
477,1.0,bussess
478,6.0,bussubway
479,1.0,bussubwaytrain
480,1.0,bustraineventu
481,3.0,busway
482,1.0,butch
483,1.0,buterin
484,1.0,butter
485,3.0,butterfli
486,1.0,buwayahman
487,1.0,bvddah
488,9.0,by
489,1.0,byi
490,34.0,c
491,9.0,cab
492,1.0,cabor
493,1.0,cabseckarlo
494,5.0,cafe
495,2.0,cafeteria
496,1.0,cail
497,1.0,cake
498,3.0,cal
499,1.0,calexico
500,2.0,cali
501,1.0,calltext
502,1.0,calltoact
503,1.0,calltxt
504,1.0,calmcampaign
505,3.0,cambridg
506,1.0,cambridgeshir
507,1.0,cambspboroca
508,1.0,camel
509,9.0,camera
510,1.0,campaignsick
511,15.0,campbel
512,1.0,campbell2ward2
513,1.0,campeur
514,1.0,canada_bt
515,5.0,canadian
516,49.0,canberra
517,4.0,canberratim
518,1.0,canopybyyou
519,1.0,cantab_bik
520,1.0,cantina
521,27.0,capac
522,2.0,cape
523,19.0,capit
524,1.0,captiv
525,1.0,carafornia
526,1.0,carcentr
527,1.0,carcinogen
528,1.0,cardomin
529,1.0,cardwond
530,1.0,careless
531,1.0,carillion
532,1.0,carlo
533,1.0,carlson
534,22.0,carri
535,2.0,carriag
536,2.0,carrier
537,1.0,carsonsiev
538,1.0,carvill
539,1.0,caseyjohnston
540,13.0,casino
541,2.0,cassett
542,1.0,castro
543,3.0,cathmckenna
544,5.0,cbctoronto
545,1.0,cbenderatl
546,3.0,cbsnew
547,1.0,cclepew
548,2.0,cct
549,3.0,cdn
550,2.0,censorship
551,1.0,centineo
552,2.0,centric
553,1.0,cern
554,3.0,certainti
555,1.0,chadduk
556,5.0,chair
557,1.0,champsubway
558,13.0,chanc
559,5.0,channel
560,1.0,chapell
561,2.0,charlesadl
562,2.0,charlesbrantcda
563,2.0,charley
564,1.0,charli
565,1.0,cheba
566,5.0,cheer
567,1.0,cheeto
568,1.0,chefantoniouk
569,1.0,chemic
570,11.0,cherri
571,2.0,chess
572,1.0,chex
573,1.0,chholt
574,1.0,chiarchitectur
575,7.0,chick
576,2.0,childcar
577,1.0,childless
578,17.0,children
579,8.0,chill
580,4.0,chillin
581,1.0,chillthemonkout
582,1.0,chippi
583,1.0,cho
584,11.0,chocol
585,1.0,chris_railway
586,1.0,chrisdelia
587,1.0,chrisgerhard
588,7.0,chrislhay
589,1.0,chrispenknz
590,3.0,christma
591,2.0,christofspiel
592,1.0,christopherszen
593,1.0,chriswelsh_1
594,1.0,chucklehead
595,1.0,chucktyler8
596,1.0,chungdam
597,11.0,church
598,1.0,cindi
599,5.0,circa
600,1.0,circul
601,1.0,circumst
602,1.0,citadigitaltransform
603,1.0,citiesskylin
604,3.0,citylab
605,1.0,cityminneapoli
606,3.0,cityofsouthbend
607,1.0,cityoftoronto
608,1.0,cityspac
609,1.0,cjwritesnthang
610,1.0,clad
611,2.0,clariti
612,27.0,class
613,1.0,classroom
614,1.0,claudet47050210
615,1.0,claydoughcook
616,1.0,clccalala
617,2.0,cleanup
618,32.0,clear
619,1.0,clearer
620,1.0,clerk
621,7.0,climb
622,1.0,clinton
623,7.0,clip
624,1.0,cllr
625,4.0,clock
626,115.0,close
627,1.0,clrv
628,4.0,cmo
629,6.0,cmon
630,1.0,cmst
631,3.0,cnn
632,1.0,coalfield
633,1.0,coff
634,1.0,coffeehouseresist
635,1.0,cognoscenti
636,1.0,cohyperloop
637,3.0,coincid
638,2.0,colddog69
639,1.0,cole
640,1.0,colfax
641,1.0,coliseum
642,1.0,colliertimothy8
643,3.0,cologn
644,1.0,comber
645,14.0,combin
646,1.0,comer
647,1.0,comfirm
648,1.0,comicgraph
649,1.0,comin
650,2.0,commission
651,1.0,communist
652,34.0,communiti
653,1.0,commuterlif
654,1.0,commuterregion
655,22.0,compar
656,4.0,compon
657,1.0,compos
658,1.0,concentr
659,10.0,concern
660,1.0,concertbest
661,2.0,conclud
662,2.0,conclus
663,1.0,concord
664,1.0,condemnd
665,1.0,condiment
666,1.0,condominium
667,10.0,confer
