,count,pair,word,cooccurword,alphaword
6136,1.0,"(work,feder)",feder,work,federwork
6137,1.0,"(work,filner)",filner,work,filnerwork
6138,1.0,"(work,fine)",fine,work,finework
6139,1.0,"(work,food)",food,work,foodwork
6140,1.0,"(work,forgotten)",forgotten,work,forgottenwork
6141,1.0,"(work,frenchalgerian)",frenchalgerian,work,frenchalgerianwork
6142,1.0,"(work,greater)",greater,work,greaterwork
6143,1.0,"(work,har)",har,work,harwork
6144,1.0,"(work,harass)",harass,work,harasswork
6145,1.0,"(work,hard)",hard,work,hardwork
6146,4.0,"(work,harvard)",harvard,work,harvardwork
6147,1.0,"(work,higherpay)",higherpay,work,higherpaywork
6148,2.0,"(work,highlight)",highlight,work,highlightwork
6149,2.0,"(work,home)",home,work,homework
6150,1.0,"(work,horton)",horton,work,hortonwork
6151,1.0,"(work,hospit)",hospit,work,hospitwork
6152,1.0,"(work,ikenson)",ikenson,work,ikensonwork
6153,1.0,"(work,ilr)",ilr,work,ilrwork
6154,5.0,"(work,in)",in,work,inwork
6155,1.0,"(work,indic)",indic,work,indicwork
6156,1.0,"(work,info)",info,work,infowork
6157,2.0,"(work,inth)",inth,work,inthwork
6158,1.0,"(work,jail)",jail,work,jailwork
6159,1.0,"(work,ka)",ka,work,kawork
6160,1.0,"(work,krystina)",krystina,work,krystinawork
6161,1.0,"(work,mari)",mari,work,mariwork
6162,1.0,"(work,megaev)",megaev,work,megaevwork
6163,1.0,"(work,melodi)",melodi,work,melodiwork
6164,1.0,"(work,mexicobas)",mexicobas,work,mexicobaswork
6165,1.0,"(work,mierin)",mierin,work,mierinwork
6166,5.0,"(work,moscow)",moscow,work,moscowwork
6167,2.0,"(work,most)",most,work,mostwork
6168,1.0,"(work,nation)",nation,work,nationwork
6169,1.0,"(work,near)",near,work,nearwork
6170,1.0,"(work,novemb)",novemb,work,novembwork
6171,1.0,"(work,often)",often,work,oftenwork
6172,1.0,"(work,orlean)",orlean,work,orleanwork
6173,1.0,"(work,pacif)",pacif,work,pacifwork
6174,1.0,"(work,penal)",penal,work,penalwork
6175,1.0,"(work,perk)",perk,work,perkwork
6176,1.0,"(work,philadelphia)",philadelphia,work,philadelphiawork
6177,1.0,"(work,platform)",platform,work,platformwork
6178,1.0,"(work,produc)",produc,work,producwork
6179,1.0,"(work,progress)",progress,work,progresswork
6180,1.0,"(work,prosecutor)",prosecutor,work,prosecutorwork
6181,1.0,"(work,racism)",racism,work,racismwork
6182,2.0,"(work,radic)",radic,work,radicwork
6183,1.0,"(work,rae)",rae,work,raework
6184,3.0,"(work,recent)",recent,work,recentwork
6185,1.0,"(work,recogn)",recogn,work,recognwork
6186,1.0,"(work,respect)",respect,work,respectwork
6187,1.0,"(work,return)",return,work,returnwork
6188,1.0,"(work,revelationsabout)",revelationsabout,work,revelationsaboutwork
6189,2.0,"(work,revit)",revit,work,revitwork
6190,2.0,"(work,rust)",rust,work,rustwork
6191,3.0,"(work,safeti)",safeti,work,safetiwork
6192,1.0,"(work,schleicher)",schleicher,work,schleicherwork
6193,5.0,"(work,school)",school,work,schoolwork
6194,1.0,"(work,seek)",seek,work,seekwork
6195,1.0,"(work,sexism)",sexism,work,sexismwork
6196,1.0,"(work,shes)",shes,work,sheswork
6197,1.0,"(work,smog)",smog,work,smogwork
